AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTURA LTE,COBERTURA 5G,COBERTURA 4G
2021,4,PARTNERS TELECOM COLOMBIA SAS,66,RISARALDA,66400,LA VIRGINIA,1,66400000,LA VIRGINIA,0,1,1,0,0,0
2022,3,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23001,MONTERÍA,0,23001041,ENSENADA DE LA HAMACA,1,1,1,0,0,0
2023,1,COLOMBIA MOVIL  S.A ESP,27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,0,27250021,BURUJÓN,0,0,0,0,0,1
2022,3,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25317,GUACHETÁ,1,25317000,GUACHETÁ,1,1,1,0,0,1
2023,3,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52001,PASTO,0,52001053,MOCONDINO,1,1,1,0,0,1
2022,3,COMUNICACION CELULAR S A COMCEL S A,99,VICHADA,99773,CUMARIBO,0,99773020,EL PROGRESO,1,0,0,0,0,0
2022,2,AVANTEL S.A.S,52,NARIÑO,52210,CONTADERO,1,52210000,CONTADERO,1,1,1,0,0,0
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,17,CALDAS,17877,VITERBO,1,17877000,VITERBO,1,1,1,0,0,1
2023,2,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13244,EL CARMEN DE BOLÍVAR,0,13244017,SANTO DOMINGO DE MEZA,1,1,1,0,0,1
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25612,RICAURTE,0,25612006,SAN MARCOS POBLADO,1,0,0,0,0,0
2022,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,23,CÓRDOBA,23660,SAHAGÚN,0,23660003,CATALINA,1,1,1,0,0,0
2022,3,COMUNICACION CELULAR S A COMCEL S A,50,META,50573,PUERTO LÓPEZ,0,50573006,PUERTO GUADALUPE,1,1,1,0,0,1
2022,4,COLOMBIA MOVIL  S.A ESP,08,ATLÁNTICO,08685,SANTO TOMÁS,1,08685000,SANTO TOMÁS,0,1,1,0,0,1
2021,3,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68689,SAN VICENTE DE CHUCURÍ,1,68689000,SAN VICENTE DE CHUCURÍ,1,1,1,0,0,1
2022,3,PARTNERS TELECOM COLOMBIA SAS,15,BOYACÁ,15861,VENTAQUEMADA,1,15861000,VENTAQUEMADA,0,1,1,0,0,1
2023,1,COMUNICACION CELULAR S A COMCEL S A,50,META,50313,GRANADA,0,50313005,PUERTO CALDAS,1,1,1,0,0,0
2021,3,COMUNICACION CELULAR S A COMCEL S A,08,ATLÁNTICO,08078,BARANOA,1,08078000,BARANOA,1,1,1,0,0,1
2022,3,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,73870,VILLAHERMOSA,1,73870000,VILLAHERMOSA,1,1,1,0,0,1
2023,3,COLOMBIA MOVIL  S.A ESP,05,ANTIOQUIA,05837,TURBO,0,05837008,RIOGRANDE,0,1,1,0,0,1
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,76,VALLE DEL CAUCA,76364,JAMUNDÍ,0,76364021,SAN ISIDRO,1,1,1,0,0,1
2022,1,COLOMBIA MOVIL  S.A ESP,52,NARIÑO,52427,MAGÜI,1,52427000,PAYÁN,1,1,1,0,0,0
2023,3,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,73624,ROVIRA,0,73624007,GUADUALITO,1,0,0,0,0,0
2021,1,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,70001,SINCELEJO,0,70001006,LA CHIVERA,1,1,1,0,0,0
2023,3,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,70230,CHALÁN,0,70230004,DESBARRANCADO,1,1,1,0,0,1
2021,1,AVANTEL S.A.S,52,NARIÑO,52699,SANTACRUZ,1,52699001,SANTACRUZ,0,0,0,0,0,0
2022,3,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47318,GUAMAL,0,47318020,LA CEIBA,1,0,0,0,0,0
2021,4,PARTNERS TELECOM COLOMBIA SAS,15,BOYACÁ,15816,TOGÜÍ,1,15816000,TOGÜÍ,0,1,1,0,0,0
2021,1,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19212,CORINTO,0,19212005,RIONEGRO,0,0,0,0,0,0
2021,4,PARTNERS TELECOM COLOMBIA SAS,25,CUNDINAMARCA,25871,VILLAGÓMEZ,1,25871000,VILLAGÓMEZ,0,1,1,0,0,0
2023,3,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52786,TAMINANGO,0,52786019,EL REMOLINO,1,1,1,0,0,1
2021,1,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,52405,LEIVA,0,52405006,PUERTO NUEVO,0,0,0,0,0,0
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,70,SUCRE,70708,SAN MARCOS,1,70708000,SAN MARCOS,1,1,1,0,0,0
2021,2,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68307,GIRÓN,1,68307000,GIRÓN,1,1,1,0,0,1
2021,1,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13430,MAGANGUÉ,0,13430039,BOCA DE GUAMAL,0,0,0,0,0,0
2021,2,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15667,SAN LUIS DE GACENO,0,15667006,LA FRONTERA (CORREDOR VIAL),1,1,1,0,0,1
2021,3,PARTNERS TELECOM COLOMBIA SAS,73,TOLIMA,73483,NATAGAIMA,1,73483000,NATAGAIMA,0,1,1,0,0,0
2021,2,PARTNERS TELECOM COLOMBIA SAS,20,CESAR,20032,ASTREA,1,20032000,ASTREA,0,1,1,0,0,0
2023,3,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23182,CHINÚ,0,23182011,SANTA FE,1,0,0,0,0,0
2021,2,COMUNICACION CELULAR S A COMCEL S A,54,NORTE DE SANTANDER,54001,SAN JOSÉ DE CÚCUTA,0,54001049,ORIPAYA,1,1,0,0,0,1
2023,1,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,70713,SAN ONOFRE,0,70713008,PALO ALTO,1,1,1,0,0,1
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,05,ANTIOQUIA,05347,HELICONIA,1,05347000,HELICONIA,1,1,1,0,0,1
2021,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,05,ANTIOQUIA,05134,CAMPAMENTO,1,05134000,CAMPAMENTO,0,0,0,0,0,0
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,47,MAGDALENA,47258,EL PIÑON,1,47258000,EL PIÑÓN,1,1,1,0,0,1
2021,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,19,CAUCA,19698,SANTANDER DE QUILICHAO,0,19698020,QUINAMAYO,1,1,1,0,0,0
2022,1,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,23672,SAN ANTERO,0,23672026,MIRIAM PARDO,1,1,1,0,0,1
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,05,ANTIOQUIA,05306,GIRALDO,1,05306000,GIRALDO,1,1,0,0,0,1
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,23,CÓRDOBA,23580,PUERTO LIBERTADOR,1,23580000,PUERTO LIBERTADOR,1,1,1,0,0,0
2021,4,AVANTEL S.A.S,13,BOLÍVAR,13670,SAN PABLO,1,13670000,SAN PABLO,1,1,1,0,0,0
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,76,VALLE DEL CAUCA,76130,CANDELARIA,0,76130004,EL CARMELO,0,1,1,0,0,1
2021,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,08,ATLÁNTICO,08832,TUBARÁ,0,08832013,NUEVA ESPERANZA,1,0,0,0,0,0
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,70,SUCRE,70473,MORROA,0,70473004,LAS FLORES,1,0,0,0,0,0
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,13,BOLÍVAR,13160,CANTAGALLO,0,13160002,BRISAS DE BOLÍVAR,1,1,0,0,0,0
2023,1,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,68572,PUENTE NACIONAL,0,68572012,PEÑA BLANCA,1,1,1,0,0,1
2023,3,COLOMBIA MOVIL  S.A ESP,54,NORTE DE SANTANDER,54743,SILOS,1,54743000,SILOS,1,1,1,0,0,1
2023,3,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76001,CALI,0,76001024,CASCAJAL I,1,1,1,0,0,1
2021,1,COMUNICACION CELULAR S A COMCEL S A,47,MAGDALENA,47980,ZONA BANANERA,0,47980013,ESTACIÓN SEVILLA,1,1,1,1,0,0
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,66,RISARALDA,66440,MARSELLA,1,66440000,MARSELLA,1,1,1,0,0,1
2023,3,COLOMBIA MOVIL  S.A ESP,05,ANTIOQUIA,05576,PUEBLORRICO,1,05576000,PUEBLORRICO,0,1,1,0,0,1
2023,3,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13430,MAGANGUÉ,0,13430002,BARRANCA DE YUCA,1,1,1,0,0,1
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,13,BOLÍVAR,13006,ACHÍ,1,13006000,ACHÍ,1,1,1,0,0,1
2023,3,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25885,YACOPÍ,0,25885021,EL CASTILLO,1,1,1,0,0,1
2022,2,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,73026,ALVARADO,0,73026001,CALDAS VIEJO,1,0,0,0,0,0
2023,2,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25740,SIBATÉ,0,25740011,SAN MIGUEL SECTOR SUR,1,1,1,0,0,1
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,76,VALLE DEL CAUCA,76233,DAGUA,0,76233012,EL SALADO,1,1,1,0,0,0
2021,4,COMUNICACION CELULAR S A COMCEL S A,08,ATLÁNTICO,08573,PUERTO COLOMBIA,0,08573003,SABANILLA (MONTE CARMELO),1,1,1,0,0,1
2021,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,05,ANTIOQUIA,05079,BARBOSA,1,05079000,BARBOSA,1,1,0,0,0,1
2022,4,PARTNERS TELECOM COLOMBIA SAS,70,SUCRE,70678,SAN BENITO ABAD,0,70678033,LAS CHISPAS,0,0,0,0,0,1
2022,1,PARTNERS TELECOM COLOMBIA SAS,68,SANTANDER,68147,CAPITANEJO,1,68147000,CAPITANEJO,0,1,1,0,0,0
2021,3,COLOMBIA MOVIL  S.A ESP,25,CUNDINAMARCA,25518,PAIME,1,25518000,PAIME,1,1,1,0,0,1
2022,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,13,BOLÍVAR,13430,MAGANGUÉ,0,13430013,JUAN ARIAS,0,1,1,0,0,0
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,73,TOLIMA,73067,ATACO,0,73067007,SANTIAGO PÉREZ,1,0,0,0,0,0
2021,1,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,73168,CHAPARRAL,0,73168005,LA MARINA,0,0,0,0,0,0
2023,2,COLOMBIA MOVIL  S.A ESP,25,CUNDINAMARCA,25473,MOSQUERA,1,25473000,MOSQUERA,0,1,1,0,0,1
2021,3,COMUNICACION CELULAR S A COMCEL S A,05,ANTIOQUIA,05308,GIRARDOTA,0,05308012,JUAN COJO,1,1,1,0,0,0
2023,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25899,ZIPAQUIRÁ,0,25899020,PORTACHUELO,1,1,0,0,0,1
2021,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,68,SANTANDER,68092,BETULIA,1,68092001,BETULIA,1,1,0,0,0,0
